name,AUROC,acc,recall,prec,spec,npv,f1sc
lncRNA and mRNA,0.59771638454168,0.3968253968253968,0.3405940594059406,0.9502762430939227,0.8548387096774194,0.13730569948186527,0.5014577259475219
lncRNA or mRNA,0.5897317151069946,0.7354497354497355,0.7762376237623763,0.9137529137529138,0.4032258064516129,0.18115942028985507,0.8394004282655247
"lncRNA, mRNA high",0.6781699137655702,0.691358024691358,0.695049504950495,0.9435483870967742,0.6612903225806451,0.21025641025641026,0.8004561003420751
"lncRNA nuc, lncRNA, mRNA high",0.6326093899712552,0.6984126984126984,0.7168316831683168,0.9282051282051282,0.5483870967741935,0.192090395480226,0.8089385474860334
